xbar,stdev,numobs
0.7,0.4660916,30.0
0.36666667,0.4901325,30.0
0.43333334,0.5040069,30.0
0.36666667,0.4901325,30.0
0.53333336,0.50741625,30.0
0.53333336,0.50741625,30.0
0.46666667,0.50741625,30.0
0.6,0.49827287,30.0
0.6,0.49827287,30.0
0.36666667,0.4901325,30.0
0.6,0.49827287,30.0
0.43333334,0.5040069,30.0
0.6,0.49827287,30.0
0.56666666,0.5040069,30.0
0.46666667,0.50741625,30.0
0.56666666,0.5040069,30.0
0.33333334,0.4794633,30.0
0.6333333,0.4901325,30.0
0.53333336,0.50741625,30.0
0.5,0.5085476,30.0
0.36666667,0.4901325,30.0
0.46666667,0.50741625,30.0
0.46666667,0.50741625,30.0
0.43333334,0.5040069,30.0
0.6333333,0.4901325,30.0
0.53333336,0.50741625,30.0
0.5,0.5085476,30.0
0.46666667,0.50741625,30.0
0.4,0.49827287,30.0
0.4,0.49827287,30.0
0.53333336,0.50741625,30.0
0.5,0.5085476,30.0
0.6333333,0.4901325,30.0
0.6,0.49827287,30.0
0.53333336,0.50741625,30.0
0.43333334,0.5040069,30.0
0.5,0.5085476,30.0
0.6,0.49827287,30.0
0.53333336,0.50741625,30.0
0.5,0.5085476,30.0
0.33333334,0.4794633,30.0
0.36666667,0.4901325,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.5,0.5085476,30.0
0.6,0.49827287,30.0
0.6666667,0.4794633,30.0
0.5,0.5085476,30.0
0.53333336,0.50741625,30.0
0.36666667,0.4901325,30.0
0.56666666,0.5040069,30.0
0.53333336,0.50741625,30.0
0.5,0.5085476,30.0
0.46666667,0.50741625,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.46666667,0.50741625,30.0
0.53333336,0.50741625,30.0
0.43333334,0.5040069,30.0
0.36666667,0.4901325,30.0
0.43333334,0.5040069,30.0
0.56666666,0.5040069,30.0
0.53333336,0.50741625,30.0
0.43333334,0.5040069,30.0
0.43333334,0.5040069,30.0
0.46666667,0.50741625,30.0
0.4,0.49827287,30.0
0.56666666,0.5040069,30.0
0.4,0.49827287,30.0
0.53333336,0.50741625,30.0
0.43333334,0.5040069,30.0
0.46666667,0.50741625,30.0
0.43333334,0.5040069,30.0
0.5,0.5085476,30.0
0.5,0.5085476,30.0
0.53333336,0.50741625,30.0
0.56666666,0.5040069,30.0
0.56666666,0.5040069,30.0
0.6,0.49827287,30.0
0.53333336,0.50741625,30.0
0.56666666,0.5040069,30.0
0.46666667,0.50741625,30.0
0.33333334,0.4794633,30.0
0.5,0.5085476,30.0
0.5,0.5085476,30.0
0.33333334,0.4794633,30.0
0.53333336,0.50741625,30.0
0.53333336,0.50741625,30.0
0.43333334,0.5040069,30.0
0.46666667,0.50741625,30.0
0.6666667,0.4794633,30.0
0.4,0.49827287,30.0
0.33333334,0.4794633,30.0
0.43333334,0.5040069,30.0
0.5,0.5085476,30.0
0.43333334,0.5040069,30.0
0.56666666,0.5040069,30.0
0.4,0.49827287,30.0
0.43333334,0.5040069,30.0
0.46666667,0.50741625,30.0
0.43333334,0.5040069,30.0
0.33333334,0.4794633,30.0
0.5,0.5085476,30.0
0.6666667,0.4794633,30.0
0.46666667,0.50741625,30.0
0.4,0.49827287,30.0
0.6333333,0.4901325,30.0
0.4,0.49827287,30.0
0.56666666,0.5040069,30.0
0.5,0.5085476,30.0
0.46666667,0.50741625,30.0
0.43333334,0.5040069,30.0
0.5,0.5085476,30.0
0.56666666,0.5040069,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.5,0.5085476,30.0
0.5,0.5085476,30.0
0.46666667,0.50741625,30.0
0.46666667,0.50741625,30.0
0.43333334,0.5040069,30.0
0.7,0.4660916,30.0
0.43333334,0.5040069,30.0
0.43333334,0.5040069,30.0
0.6333333,0.4901325,30.0
0.4,0.49827287,30.0
0.4,0.49827287,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.6666667,0.4794633,30.0
0.5,0.5085476,30.0
0.46666667,0.50741625,30.0
0.3,0.4660916,30.0
0.5,0.5085476,30.0
0.6333333,0.4901325,30.0
0.5,0.5085476,30.0
0.53333336,0.50741625,30.0
0.5,0.5085476,30.0
0.36666667,0.4901325,30.0
0.4,0.49827287,30.0
0.53333336,0.50741625,30.0
0.53333336,0.50741625,30.0
0.5,0.5085476,30.0
0.53333336,0.50741625,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.6,0.49827287,30.0
0.6333333,0.4901325,30.0
0.5,0.5085476,30.0
0.46666667,0.50741625,30.0
0.53333336,0.50741625,30.0
0.56666666,0.5040069,30.0
0.46666667,0.50741625,30.0
0.46666667,0.50741625,30.0
0.56666666,0.5040069,30.0
0.5,0.5085476,30.0
0.56666666,0.5040069,30.0
0.36666667,0.4901325,30.0
0.6666667,0.4794633,30.0
0.53333336,0.50741625,30.0
0.56666666,0.5040069,30.0
0.33333334,0.4794633,30.0
0.36666667,0.4901325,30.0
0.36666667,0.4901325,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.53333336,0.50741625,30.0
0.6666667,0.4794633,30.0
0.43333334,0.5040069,30.0
0.3,0.4660916,30.0
0.53333336,0.50741625,30.0
0.56666666,0.5040069,30.0
0.56666666,0.5040069,30.0
0.4,0.49827287,30.0
0.53333336,0.50741625,30.0
0.53333336,0.50741625,30.0
0.5,0.5085476,30.0
0.53333336,0.50741625,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.46666667,0.50741625,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.56666666,0.5040069,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.56666666,0.5040069,30.0
0.53333336,0.50741625,30.0
0.26666668,0.44977644,30.0
0.46666667,0.50741625,30.0
0.43333334,0.5040069,30.0
0.5,0.5085476,30.0
0.6,0.49827287,30.0
0.6666667,0.4794633,30.0
0.3,0.4660916,30.0
0.53333336,0.50741625,30.0
0.6,0.49827287,30.0
0.4,0.49827287,30.0
0.56666666,0.5040069,30.0
0.36666667,0.4901325,30.0
0.56666666,0.5040069,30.0
0.43333334,0.5040069,30.0
0.6,0.49827287,30.0
0.5,0.5085476,30.0
0.46666667,0.50741625,30.0
0.6333333,0.4901325,30.0
0.56666666,0.5040069,30.0
0.33333334,0.4794633,30.0
0.56666666,0.5040069,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.6333333,0.4901325,30.0
0.46666667,0.50741625,30.0
0.6333333,0.4901325,30.0
0.6,0.49827287,30.0
0.56666666,0.5040069,30.0
0.43333334,0.5040069,30.0
0.5,0.5085476,30.0
0.6,0.49827287,30.0
0.6,0.49827287,30.0
0.4,0.49827287,30.0
0.6,0.49827287,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.5,0.5085476,30.0
0.53333336,0.50741625,30.0
0.43333334,0.5040069,30.0
0.6,0.49827287,30.0
0.4,0.49827287,30.0
0.53333336,0.50741625,30.0
0.4,0.49827287,30.0
0.4,0.49827287,30.0
0.53333336,0.50741625,30.0
0.53333336,0.50741625,30.0
0.4,0.49827287,30.0
0.53333336,0.50741625,30.0
0.46666667,0.50741625,30.0
0.7,0.4660916,30.0
0.36666667,0.4901325,30.0
0.5,0.5085476,30.0
0.36666667,0.4901325,30.0
0.4,0.49827287,30.0
0.6,0.49827287,30.0
0.56666666,0.5040069,30.0
0.4,0.49827287,30.0
0.5,0.5085476,30.0
0.6,0.49827287,30.0
0.6,0.49827287,30.0
0.56666666,0.5040069,30.0
0.53333336,0.50741625,30.0
0.6,0.49827287,30.0
0.5,0.5085476,30.0
0.6,0.49827287,30.0
0.53333336,0.50741625,30.0
0.6666667,0.4794633,30.0
0.5,0.5085476,30.0
0.5,0.5085476,30.0
0.43333334,0.5040069,30.0
0.43333334,0.5040069,30.0
0.46666667,0.50741625,30.0
0.53333336,0.50741625,30.0
0.36666667,0.4901325,30.0
0.46666667,0.50741625,30.0
0.53333336,0.50741625,30.0
0.6,0.49827287,30.0
0.3,0.4660916,30.0
0.56666666,0.5040069,30.0
0.36666667,0.4901325,30.0
0.46666667,0.50741625,30.0
0.46666667,0.50741625,30.0
0.6333333,0.4901325,30.0
0.53333336,0.50741625,30.0
0.43333334,0.5040069,30.0
0.53333336,0.50741625,30.0
0.46666667,0.50741625,30.0
0.43333334,0.5040069,30.0
0.43333334,0.5040069,30.0
0.4,0.49827287,30.0
0.56666666,0.5040069,30.0
0.53333336,0.50741625,30.0
0.53333336,0.50741625,30.0
0.46666667,0.50741625,30.0
0.6,0.49827287,30.0
0.46666667,0.50741625,30.0
0.46666667,0.50741625,30.0
0.43333334,0.5040069,30.0
0.3,0.4660916,30.0
0.5,0.5085476,30.0
0.53333336,0.50741625,30.0
0.4,0.49827287,30.0
0.5,0.5085476,30.0
0.6,0.49827287,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.36666667,0.4901325,30.0
0.33333334,0.4794633,30.0
0.6333333,0.4901325,30.0
0.46666667,0.50741625,30.0
0.53333336,0.50741625,30.0
0.46666667,0.50741625,30.0
0.46666667,0.50741625,30.0
0.5,0.5085476,30.0
0.6666667,0.4794633,30.0
0.6,0.49827287,30.0
0.5,0.5085476,30.0
0.36666667,0.4901325,30.0
0.46666667,0.50741625,30.0
0.53333336,0.50741625,30.0
0.6,0.49827287,30.0
0.56666666,0.5040069,30.0
0.53333336,0.50741625,30.0
0.7,0.4660916,30.0
0.56666666,0.5040069,30.0
0.6,0.49827287,30.0
0.36666667,0.4901325,30.0
0.6,0.49827287,30.0
0.43333334,0.5040069,30.0
0.6333333,0.4901325,30.0
0.4,0.49827287,30.0
0.43333334,0.5040069,30.0
0.56666666,0.5040069,30.0
0.53333336,0.50741625,30.0
0.46666667,0.50741625,30.0
0.6,0.49827287,30.0
0.43333334,0.5040069,30.0
0.53333336,0.50741625,30.0
0.43333334,0.5040069,30.0
0.43333334,0.5040069,30.0
0.5,0.5085476,30.0
0.46666667,0.50741625,30.0
0.6333333,0.4901325,30.0
0.43333334,0.5040069,30.0
