xbar,stdev,numobs
0.22,0.4163332,100.0
0.22,0.4163332,100.0
0.14,0.3487351,100.0
0.15,0.35887027,100.0
0.21,0.40936017,100.0
0.15,0.35887027,100.0
0.16,0.36845294,100.0
0.23,0.4229526,100.0
0.14,0.3487351,100.0
0.14,0.3487351,100.0
0.14,0.3487351,100.0
0.21,0.40936017,100.0
0.2,0.40201512,100.0
0.11,0.31446603,100.0
0.14,0.3487351,100.0
0.11,0.31446603,100.0
0.13,0.33799767,100.0
0.14,0.3487351,100.0
0.18,0.3861229,100.0
0.19,0.39427724,100.0
0.17,0.37752518,100.0
0.19,0.39427724,100.0
0.07,0.2564324,100.0
0.16,0.36845294,100.0
0.15,0.35887027,100.0
0.2,0.40201512,100.0
0.09,0.2876235,100.0
0.12,0.32659864,100.0
0.15,0.35887027,100.0
0.2,0.40201512,100.0
0.19,0.39427724,100.0
0.16,0.36845294,100.0
0.12,0.32659864,100.0
0.23,0.4229526,100.0
0.19,0.39427724,100.0
0.14,0.3487351,100.0
0.19,0.39427724,100.0
0.21,0.40936017,100.0
0.14,0.3487351,100.0
0.13,0.33799767,100.0
0.23,0.4229526,100.0
0.22,0.4163332,100.0
0.2,0.40201512,100.0
0.14,0.3487351,100.0
0.15,0.35887027,100.0
0.2,0.40201512,100.0
0.11,0.31446603,100.0
0.19,0.39427724,100.0
0.16,0.36845294,100.0
0.17,0.37752518,100.0
0.14,0.3487351,100.0
0.13,0.33799767,100.0
0.28,0.45126086,100.0
0.16,0.36845294,100.0
0.15,0.35887027,100.0
0.17,0.37752518,100.0
0.16,0.36845294,100.0
0.14,0.3487351,100.0
0.1,0.30151135,100.0
0.24,0.42923468,100.0
0.11,0.31446603,100.0
0.19,0.39427724,100.0
0.17,0.37752518,100.0
0.16,0.36845294,100.0
0.2,0.40201512,100.0
0.12,0.32659864,100.0
0.17,0.37752518,100.0
0.19,0.39427724,100.0
0.15,0.35887027,100.0
0.22,0.4163332,100.0
0.14,0.3487351,100.0
0.16,0.36845294,100.0
0.23,0.4229526,100.0
0.12,0.32659864,100.0
0.11,0.31446603,100.0
0.11,0.31446603,100.0
0.18,0.3861229,100.0
0.22,0.4163332,100.0
0.14,0.3487351,100.0
0.15,0.35887027,100.0
0.14,0.3487351,100.0
0.18,0.3861229,100.0
0.2,0.40201512,100.0
0.17,0.37752518,100.0
0.16,0.36845294,100.0
0.17,0.37752518,100.0
0.2,0.40201512,100.0
0.14,0.3487351,100.0
